"state","pattern"
"AL","Albertville|Alexander City|Alexandria|Abanda|Abbeville|Adamsville|Addison|Akron|Alabaster|Albertville|Alexander City|Alexandria|Aliceville|Allgood|Altoona|Andalusia|Anderson|Anniston|Arab|Ardmore|Argo|Ariton|Arley|Ashford|Ashland|Ashville|Athens|Atmore|Attalla|Auburn|Autaugaville|Avon|Axis|Babbie|Baileyton|Bakerhill|Ballplay|Banks|Bay Minette|Bayou La Batre|Bear Creek|Beatrice|Beaverton|Belgreen|Belk|Bellamy|Belle Fontaine|Benton|Berry|Bessemer|Billingsley|Birmingham|Black|Blountsville|Blue Ridge|Blue Springs|Boaz|Boligee|Bon Air|Bon Secour|Boykin|Brantley|Brantleyville|Brent|Brewton|Bridgeport|Brighton|Brilliant|Bristow Cove|Brook Highland|Brookside|Brookwood|Broom|Brundidge|Bucks|Butler|Calera|Calvert|Camden|Camp Hill|Carbon Hill|Cardiff|Carlisle-Rockledge|Carlton|Carolina|Carrollton|Castleberry|Catherine|Cedar Bluff|Center Point|Centre|Centreville|Chatom|Chelsea|Cherokee|Chickasaw|Childersburg|Choccolocco|Chunchula|Citronelle|Clanton|Clay|Clayhatchee|Clayton|Cleveland|Clio|Coaling|Coats Bend|Coffee Springs|Coffeeville|Coker|Collinsville|Colony|Columbia|Columbiana|Concord|Coosada|Cordova|Cottondale|Cottonwood|County Line|Courtland|Cowarts|Creola|Crossville|Cuba|Cullman|Cullomburg|Cusseta|Dadeville|Daleville|Daphne|Dauphin Island|Daviston|Dayton|Deatsville|Decatur|Deer Park|Delta|Demopolis|Detroit|Dodge City|Dora|Dothan|Double Springs|Douglas|Dozier|Dunnavant|Dutton|East Brewton|East Point|Eclectic|Edgewater|Edwardsville|Egypt|Elba|Elberta|Eldridge|Elkmont|Elmore|Emelle|Emerald Mountain|Enterprise|Epes|Ethelsville|Eufaula|Eunola|Eutaw|Eva|Evergreen|Excel|Fairfield|Fairford|Fairhope|Fairview|Falkville|Faunsdale|Fayette|Fayetteville|Fitzpatrick|Five Points|Flomaton|Florala|Florence|Foley|Forestdale|Forkland|Fort Deposit|Fort Payne|Fort Rucker|Franklin|Fredonia|Frisco City|Fruitdale|Fruithurst|Fulton|Fultondale|Fyffe|Gadsden|Gainesville|Gallant|Gantt|Garden City|Gardendale|Gaylesville|Geiger|Geneva|Georgiana|Geraldine|Gilber|Glen Allen|Glencoe|Glenwood|Goldville|Good Hope|Goodwater|Gordo|Gordon|Gordonville|Goshen|Graham|Grand Bay|Grant|Grayson Valley|Graysville|Greensboro|Greenville|Grimes|Grove Hill|Guin|Gulfcrest|Gulf Shores|Guntersville|Gurley|Gu-Win|Hackleburg|Hackneyville|Haleburg|Haleyville|Hamilton|Hammondville|Hanceville|Harpersville|Hartford|Hartselle|Harvest|Hatton|Hayden|Hayneville|Hazel Green|Headland|Heath|Heflin|Helena|Henagar|Highland Lake|Highland Lakes|Hillsboro|Hissop|Hobson|Hobson City|Hodges|Hokes Bluff|Hollins|Hollis Crossroads|Holly Pond|Hollywood|Holt|Holtville|Homewood|Hoover|Horn Hill|Huey|Huguley|Huntsville|Hurtsboro|Hytop|Ider|Indian Springs Village|Irondale|Ivalee|Jackson|Jacksons' Gap|Jacksonville|Jasper|Jemison|Joppa|Kansas|Kellyton|Kennedy|Killen|Kimberly|Kinsey|Kinston|Ladonia|La Fayette|Lakeview|Lake View|Lanett|Langston|Leeds|Leesburg|Leighton|Leroy|Lester|Level Plains|Lexington|Libertyville|Lillian|Lincoln|Linden|Lineville|Lipscomb|Lisman|Littleville|Livingston|Loachapoka|Lockhart|Locust Fork|Lookout Mountain|Louisville|Lowndesboro|Loxley|Luverne|Lynn|McDonald Chapel|Macedonia|McIntosh|McKenzie|McMullen|Madison|Madrid|Magnolia Springs|Malcolm|Malvern|Maplesville|Marbury|Margaret|Marion|May|Meadowbrook|Megargel|Memphis|Mentone|Meridianville|Midfield|Midland City|Midway|Mignon|Millbrook|Millerville|Millport|Millry|Minor|Mobile|Monroeville|Montevallo|Montgomery|Moody|Moores Mill|Mooresville|Morris|Morrison Crossroads|Mosses|Moulton|Moundville|Mountain Brook|Mount Olive|Mount Olive|Mount Vernon|Movico|Mulga|Munford|Muscle Shoals|Myrtlewood|Nanafalia|Nances Creek|Napier Field|Natural Bridge|Nauvoo|Nectar|Needham|Newbern|New Brockton|New Hope|New Market|New Site|Newton|New Union|Newville|North Courtland|North Johns|Northport|Notasulga|Oak Grove|Oak Hill|Oakman|Odenville|Ohatchee|Oneonta|Onycha|Opelika|Opp|Orange Beach|Orrville|Our Town|Owens Cross Roads|Oxford|Ozark|Paint Rock|Panola|Parrish|Pelham|Pell City|Pennington|Penton|Perdido|Perdido Beach|Peterman|Petrey|Phenix City|Phil Campbell|Pickensville|Piedmont|Pike Road|Pinckard|Pine Apple|Pine Hill|Pine Level|Pine Ridge|Pinson|Pisgah|Pleasant Grove|Pleasant Groves|Point Clear|Pollard|Powell|Prattville|Priceville|Prichard|Providence|Putnam|Ragland|Rainbow City|Rainsville|Ranburne|Ray|Red Bay|Redland|Red Level|Redstone Arsenal|Reece City|Reel|Reform|Rehobeth|Repton|Ridgeville|River Falls|Riverside|Riverview|Roanoke|Robertsdale|Rock Creek|Rockford|Rock Mills|Rockville|Rogersville|Rosa|Russellville|Rutledge|St. Florian|St. Stephens|Saks|Samson|Sand Rock|Sanford|Saraland|Sardis City|Satsuma|Scottsboro|Section|Selma|Selmont-West Selmont|Semmes|Sheffield|Shelby|Shiloh|Shoal Creek|Shorter|Silas|Silverhill|Sims Chapel|Sipsey|Skyline|Slocomb|Smiths Station|Smoke Rise|Snead|Somerville|Southside|South Vinemont|Spanish Fort|Spring Garden|Springville|Spruce Pine|Standing Rock|Stapleton|Steele|Sterrett|Stevenson|Stewartville|Stockton|Sulligent|Sumiton|Summerdale|Susan Moore|Sweet Water|Sylacauga|Sylvania|Sylvan Springs|Talladega|Talladega Springs|Tallassee|Tarrant|Taylor|Theodore|Thomaston|Thomasville|Thorsby|Tibbie|Tidmore Bend|Tillmans Corner|Town Creek|Toxey|Trafford|Triana|Trinity|Troy|Trussville|Tuscaloosa|Tuscumbia|Tuskegee|Twin|Underwood-Petersville|Union|Union Grove|Union Springs|Union|Uriah|Valley|Valley Grande|Valley Head|Vance|Vandiver|Vernon|Vestavia Hills|Vina|Vincent|Vinegar Bend|Vredenburgh|Wadley|Waldo|Walnut Grove|Warrior|Waterloo|Waverly|Weaver|Webb|Wedowee|Weogufka|West Blocton|West End-Cobb Town|West Jefferson|Westover|West Point|Wetumpka|Whatley|White Hall|White Plains|Whitesboro|Wilsonville|Wilton|Winfield|Woodland|Woodstock|Woodville|Yellow Bluff|York"
"AK","Adak|Akhiok|Akiachak|Akiak|Akutan|Alakanuk|Alatna|Alcan Border|Aleknagik|Aleneva|Allakaket|Ambler|Anaktuvuk Pass|Anchorage municipality|Anchor Point|Anderson|Angoon|Aniak|Anvik|Arctic Village|Atka|Atmautluak|Atqasuk|Attu Station|Badger|Barrow|Bear Creek|Beaver|Beluga|Bethel|Bettles|Big Delta|Big Lake|Birch Creek|Brevig Mission|Buckland|Buffalo Soapstone|Butte|Cantwell|Central|Chalkyitsik|Chase|Chefornak|Chena Ridge|Chenega|Chevak|Chickaloon|Chicken|Chignik|Chignik Lagoon|Chignik Lake|Chiniak|Chisana|Chistochina|Chitina|Chuathbaluk|Circle|Clam Gulch|Clark's Point|Coffman Cove|Cohoe|Cold Bay|Coldfoot|College|Cooper Landing|Copper Center|Cordova|Covenant Life|Craig|Crooked Creek|Crown Point|Deering|Delta Junction|Deltana|Diamond Ridge|Dillingham|Diomede|Dot Lake|Dot Lake Village|Dry Creek|Eagle|Eagle Village|Edna Bay|Eek|Egegik|Eielson AFB|Ekwok|Elfin Cove|Elim|Emmonak|Ester|Eureka Roadhouse|Evansville|Excursion Inlet|Fairbanks|False Pass|Farmers Loop|Farm Loop|Ferry|Fishhook|Flat|Fort Greely|Fort Yukon|Four Mile Road|Fox|Fox River|Fritz Creek|Funny River|Gakona|Galena|Gambell|Game Creek|Gateway|Glacier View|Glennallen|Goldstream|Golovin|Goodnews Bay|Grayling|Gulkana|Gustavus|Haines|Halibut Cove|Happy Valley|Harding-Birch Lakes|Healy|Healy Lake|Hobart Bay|Hollis|Holy Cross|Homer|Hoonah|Hooper Bay|Hope|Houston|Hughes|Huslia|Hydaburg|Hyder|Igiugig|Iliamna|Ivanof Bay|Juneau  and borough|Kachemak|Kake|Kaktovik|Kalifornsky|Kaltag|Karluk|Kasaan|Kasigluk|Kasilof|Kenai|Kenny Lake|Ketchikan|Kiana|King Cove|King Salmon|Kipnuk|Kivalina|Klawock|Klukwan|Knik-Fairview|Knik River|Kobuk|Kodiak|Kodiak Station|Kokhanok|Koliganek|Kongiganak|Kotlik|Kotzebue|Koyuk|Koyukuk|Kupreanof|Kwethluk|Kwigillingok|Lake Louise|Lake Minchumina|Lakes|Larsen Bay|Lazy Mountain|Levelock|Lime Village|Livengood|Loring|Lowell Point|Lower Kalskag|Lutak|McCarthy|McGrath|McKinley Park|Manley Hot Springs|Manokotak|Marshall|Meadow Lakes|Mekoryuk|Mendeltna|Mentasta Lake|Mertarvik|Metlakatla|Minto|Moose Creek|Moose Pass|Mosquito Lake|Mountain Village|Mud Bay|Nabesna|Naknek|Nanwalek|Napakiak|Napaskiak|Naukati Bay|Nelchina|Nelson Lagoon|Nenana|New Allakaket|Newhalen|New Stuyahok|Newtok|Nightmute|Nikiski|Nikolaevsk|Nikolai|Nikolski|Ninilchik|Noatak|Nome|Nondalton|Noorvik|North Pole|Northway|Northway Junction|Northway Village|Nuiqsut|Nulato|Nunam Iqua|Nunapitchuk|Old Harbor|Oscarville|Ouzinkie|Palmer|Paxson|Pedro Bay|Pelican|Perryville|Petersburg|Petersville|Pilot Point|Pilot Station|Pitkas Point|Platinum|Pleasant Valley|Point Baker|Point Hope|Point Lay|Point MacKenzie|Point Possession|Pope-Vannoy Landing|Portage Creek|Port Alexander|Port Alsworth|Port Clarence|Port Graham|Port Heiden|Port Lions|Port Protection|Primrose|Prudhoe Bay|Quinhagak|Rampart|Red Devil|Red Dog Mine|Ridgeway|Ruby|Russian Mission|St. George|St. Mary's|St. Michael|St. Paul|Salamatof|Salcha|Sand Point|Savoonga|Saxman|Scammon Bay|Selawik|Seldovia|Seldovia Village|Seward|Shageluk|Shaktoolik|Shishmaref|Shungnak|Silver Springs|Sitka  and borough|Skagway|Skwentna|Slana|Sleetmute|Soldotna|South Naknek|South Van Horn|Stebbins|Steele Creek|Sterling|Stevens Village|Stony River|Sunrise|Susitna|Susitna North|Sutton-Alpine|Takotna|Talkeetna|Tanacross|Tanaina|Tanana|Tatitlek|Tazlina|Teller|Tenakee Springs|Tetlin|Thorne Bay|Togiak|Tok|Toksook Bay|Tolsona|Tonsina|Trapper Creek|Tuluksak|Tuntutuliak|Tununak|Twin Hills|Two Rivers|Tyonek|Ugashik|Unalakleet|Unalaska|Upper Kalskag|Valdez|Venetie|Wainwright|Wales|Wasilla|Whale Pass|White Mountain|Whitestone|Whitestone Logging Camp|Whittier|Willow|Willow Creek|Wiseman|Womens Bay|Wrangell  and borough|Yakutat"
"AZ","Aguila|Ajo|Ak Chin|Ak-Chin Village|Alamo Lake|Ali Chuk|Ali Chukson|Ali Molina|Alpine|Amado|Anegam|Antares|Anthem|Apache Junction|Arivaca|Arivaca Junction|Arizona City|Arizona Village|Arlington|Ash Fork|Avenue B and C|Avondale|Avra Valley|Aztec|Bagdad|Bear Flat|Beaver Dam|Beaver Valley|Benson|Beyerville|Bisbee|Bitter Springs|Black Canyon City|Blackwater|Bluewater|Bouse|Bowie|Brenda|Bryce|Buckeye|Buckshot|Bullhead City|Burnside|Bylas|Cactus Flats|Cactus Forest|Cameron|Campo Bonito|Camp Verde|Cane Beds|Canyon Day|Carefree|Carrizo|Casa Blanca|Casa Grande|Casas Adobes|Catalina|Catalina Foothills|Cave Creek|Cedar Creek|Centennial Park|Central|Central Heights-Midland City|Chandler|Charco|Chiawuli Tak|Chilchinbito|Chinle|Chino Valley|Chloride|Christopher Creek|Chuichu|Cibecue|Cibola|Cienega Springs|Citrus Park|Clacks Canyon|Clarkdale|Claypool|Clay Springs|Clifton|Colorado City|Comobabi|Concho|Congress|Coolidge|Copper Hill|Cordes Lakes|Cornfields|Cornville|Corona de Tucson|Cottonwood|Cottonwood|Cowlic|Crozier|Crystal Beach|Cutter|Dateland|Deer Creek|Del Muerto|Dennehotso|Desert Hills|Dewey-Humboldt|Dilkon|Dolan Springs|Doney Park|Donovan Estates|Douglas|Dragoon|Drexel Heights|Dripping Springs|Drysdale|Dudleyville|Duncan|Eagar|East Fork|East Globe|East Verde Estates|Ehrenberg|El Capitan|Elephant Head|Elfrida|Elgin|El Mirage|Eloy|El Prado Estates|First Mesa|Flagstaff|Florence|Flowing Springs|Flowing Wells|Fort Apache|Fort Defiance|Fort Mohave|Fort Thomas|Fortuna Foothills|Fort Valley|Fountain Hills|Franklin|Fredonia|Freedom Acres|Gadsden|Ganado|Geronimo Estates|Gila Bend|Gila Crossing|Gilbert|Gisela|Glendale|Globe|Gold Canyon|Golden Shores|Golden Valley|Goodyear|Goodyear Village|Grand Canyon Village|Grand Canyon West|Greasewood|Green Valley|Greer|Guadalupe|Gu Oidak|Hackberry|Haigler Creek|Haivana Nakya|Hard Rock|Hayden|Heber-Overgaard|Holbrook|Hondah|Hotevilla-Bacavi|Houck|Huachuca City|Hunter Creek|Icehouse Canyon|Indian Wells|Jakes Corner|Jeddito|Jerome|Joseph City|Kachina Village|Kaibab|Kaibito|Kaka|Katherine|Kayenta|Keams Canyon|Kearny|Kingman|Kino Springs|Klagetoh|Kohatk|Kohls Ranch|Komatke|Ko Vaya|Kykotsmovi Village|Lake Havasu City|Lake Montezuma|Lake of the Woods|La Paz Valley|Lazy Y U|LeChee|Leupp|Linden|Litchfield Park|Littlefield|Little|Lower Santan Village|Low Mountain|Lukachukai|Lupton|McConnico|McNary|McNeal|Maish Vaya|Mammoth|Many Farms|Marana|Maricopa|Maricopa Colony|Martinez Lake|Mayer|Mead Ranch|Meadview|Mesa|Mesa del Caballo|Mescal|Mesquite Creek|Miami|Miracle Valley|Moccasin|Moenkopi|Mohave Valley|Mojave Ranch Estates|Morenci|Morris|Mountainaire|Munds Park|Naco|Nazlini|Nelson|New Kingman-Butler|New River|Nogales|Nolic|North Fork|Nutrioso|Oak Springs|Oatman|Oljato-Monument Valley|Oracle|Orange Grove Mobile Manor|Oro Valley|Oxbow Estates|Padre Ranchitos|Page|Palominas|Paradise Valley|Parker|Parker Strip|Parks|Patagonia|Paulden|Payson|Peach Springs|Peeples Valley|Peoria|Peridot|Phoenix|Picacho|Picture Rocks|Pima|Pimaco Two|Pinal|Pine|Pinedale|Pine Lake|Pinetop Country Club|Pinetop-Lakeside|Pinion Pines|Pinon|Pirtleville|Pisinemo|Poston|Prescott|Prescott Valley|Quartzsite|Queen Creek|Queen Valley|Rainbow City|Rancho Mesa Verde|Red Mesa|Red Rock|Red Rock|Rillito|Rincon Valley|Rio Rico|Rio Verde|Rock House|Rock Point|Roosevelt|Rough Rock|Round Rock|Round Valley|Rye|Sacate Village|Sacaton|Sacaton Flats Village|Saddlebrooke|Safford|Sahuarita|St. David|St. Johns|St. Johns|St. Michaels|Salome|San Carlos|Sanders|San Jose|San Luis|San Manuel|San Miguel|San Simon|Santa Cruz|San Tan Valley|Santa Rosa|Sawmill|Scenic|Scottsdale|Seba Dalkai|Second Mesa|Sedona|Sehili|Seligman|Sells|Seven Mile|Shongopovi|Shonto|Show Low|Sierra Vista|Sierra Vista Southeast|Six Shooter Canyon|Snowflake|So-Hi|Solomon|Somerton|Sonoita|South Komelik|South Tucson|Springerville|Spring Valley|Stanfield|Star Valley|Steamboat|Stotonic Village|Strawberry|Summerhaven|Summit|Sun City|Sun City West|Sunizona|Sun Lakes|Sun Valley|Sunwest|Supai|Superior|Surprise|Sweet Water Village|Swift Trail Junction|Tacna|Tanque Verde|Tat Momoli|Taylor|Teec Nos Pos|Tees Toh|Tempe|Thatcher|Theba|Three Points|Tolani Lake|Tolleson|Tombstone|Tonalea|Tonopah|Tonto Basin|Tonto Village|Topawa|Topock|Top-of-the-World|Toyei|Truxton|Tsaile|Tubac|Tuba City|Tucson|Tucson Estates|Tumacacori-Carmen|Turkey Creek|Tusayan|Upper Santan Village|Utting|Vail|Vaiva Vo|Valencia West|Valentine|Valle|Valle Vista|Ventana|Verde Village|Vernon|Vicksburg|Village of Oak Creek (Big Park)|Wagon Wheel|Wahak Hotrontk|Wall Lane|Walnut Creek|Washington Park|Wellton|Wellton Hills|Wenden|Wet Camp Village|Wheatfields|Whetstone|Whispering Pines|Whitecone|White Hills|White Mountain Lake|Whiteriver|Why|Wickenburg|Wide Ruins|Wikieup|Wilhoit|Willcox|Williams|Williamson|Willow Canyon|Willow Valley|Window Rock|Winkelman|Winslow|Winslow West|Wintersburg|Wittmann|Woodruff|Yarnell|York|Young|Young|Yucca|Yuma"
"AR","Adona|Alexander|Alicia|Allport|Alma|Almyra|Alpena|Altheimer|Altus|Amagon|Amity|Anthonyville|Antoine|Arkadelphia|Arkansas City|Ashdown|Ash Flat|Atkins|Aubrey|Augusta|Austin|Avilla|Avoca|Bald Knob|Banks|Barling|Bassett|Batesville|Bauxite|Bay|Bearden|Beaver|Beebe|Beedeville|Bella Vista|Bellefonte|Belleville|Ben Lomond|Benton|Bentonville|Bergman|Berryville|Bethel Heights|Bigelow|Big Flat|Biggers|Birdsong|Black Oak|Black Rock|Black Springs|Blevins|Blue Eye|Blue Mountain|Bluff City|Blytheville|Bodcaw|Bonanza|Bono|Booneville|Bradford|Bradley|Branch|Briarcliff|Brinkley|Brookland|Bryant|Buckner|Bull Shoals|Burdette|Cabot|Caddo Valley|Caldwell|Cale|Calico Rock|Calion|Camden|Cammack Village|Campbell Station|Caraway|Carlisle|Carthage|Casa|Cash|Caulksville|Cave City|Cave Springs|Cedarville|Center Ridge|Centerton|Central City|Charleston|Cherokee City|Cherokee Village|Cherry Valley|Chester|Chidester|Clarendon|Clarkedale|Clarksville|Clinton|Coal Hill|College City|College Station|Colt|Concord|Conway|Corinth|Corning|Cotter|Cotton Plant|Cove|Coy|Crawfordsville|Crossett|Cushman|Daisy|Damascus|Danville|Dardanelle|Datto|Decatur|Delaplaine|Delight|Dell|Dennard|Denning|De Queen|Dermott|Des Arc|De Valls Bluff|DeWitt|Diamond City|Diaz|Dierks|Donaldson|Dover|Dumas|Dyer|Dyess|Earle|East Camden|East End|Edmondson|Egypt|Elaine|El Dorado|Elkins|Elm Springs|Emerson|Emmet|England|Enola|Etowah|Eudora|Eureka Springs|Evening Shade|Everton|Fairfield Bay|Fargo|Farmington|Fayetteville|Felsenthal|Fifty-Six|Fisher|Flippin|Fordyce|Foreman|Forrest City|Fort Smith|Fouke|Fountain Hill|Fountain Lake|Fourche|Franklin|Fredonia (Biscoe)|Friendship|Fulton|Garfield|Garland|Garner|Gassville|Gateway|Gentry|George|Gibson|Gilbert|Gillett|Gillham|Gilmore|Glenwood|Goshen|Gosnell|Gould|Grady|Grannis|Gravette|Greenbrier|Green Forest|Greenland|Greenway|Greenwood|Greers Ferry|Griffithville|Grubbs|Guion|Gum Springs|Gurdon|Guy|Hackett|Hagarville|Hamburg|Hampton|Hardy|Harrell|Harrisburg|Harrison|Hartford|Hartman|Haskell|Hatfield|Havana|Haynes|Hazen|Heber Springs|Hector|Helena-West Helena|Hensley|Hermitage|Hickory Ridge|Higden|Higginson|Highfill|Highland|Hindsville|Holiday Island|Holland|Holly Grove|Hope|Horatio|Horseshoe Bend|Horseshoe Lake|Hot Springs|Hot Springs Village|Houston|Hoxie|Hughes|Humnoke|Humphrey|Hunter|Huntington|Huntsville|Huttig|Imboden|Jacksonport|Jacksonville|Jasper|Jennette|Jericho|Jerome|Johnson|Joiner|Jonesboro|Judsonia|Junction City|Keiser|Kensett|Keo|Kibler|Kingsland|Kirby|Knobel|Knoxville|Lafe|LaGrange|Lake City|Lake Hamilton|Lakeview|Lake View|Lake Village|Lamar|Landmark|Lavaca|Leachville|Lead Hill|Leola|Lepanto|Leslie|Letona|Lewisville|Lexa|Lincoln|Little Flock|Little Rock|Lockesburg|London|Lonoke|Lonsdale|Lost Bridge Village|Louann|Lowell|Luxora|Lynn|McAlmont|McCaskill|McCrory|McDougal|McGehee|McNab|McNeil|McRae|Madison|Magazine|Magness|Magnet Cove|Magnolia|Malvern|Mammoth Spring|Manila|Mansfield|Marianna|Marie|Marion|Marked Tree|Marmaduke|Marshall|Marvell|Maumelle|Mayflower|Maynard|Maysville|Melbourne|Mena|Menifee|Midland|Midway|Midway|Mineral Springs|Minturn|Mitchellville|Monette|Monticello|Montrose|Moorefield|Moro|Morrilton|Morrison Bluff|Mountainburg|Mountain Home|Mountain Pine|Mountain View|Mount Ida|Mount Pleasant|Mount Vernon|Mulberry|Murfreesboro|Nashville|Natural Steps|Newark|New Blaine|New Edinburg|Newport|Nimmons|Norfork|Norman|Norphlet|North Crossett|North Little Rock|Oak Grove|Oak Grove Heights|Oakhaven|Oden|Ogden|Oil Trough|O'Kean|Okolona|Ola|Omaha|Oppelo|Osceola|Oxford|Ozan|Ozark|Palestine|Pangburn|Paragould|Paris|Parkdale|Parkin|Patmos|Patterson|Peach Orchard|Pea Ridge|Perla|Perry|Perry|Perryville|Piggott|Pindall|Pine Bluff|Pineville|Piney|Plainview|Pleasant Plains|Plumerville|Pocahontas|Pollard|Portia|Portland|Pottsville|Powhatan|Poyen|Prairie Creek|Prairie Grove|Prattsville|Prescott|Pyatt|Quitman|Ratcliff|Ravenden|Ravenden Springs|Reader|Rector|Redfield|Reed|Reyno|Rison|Rockport|Rockwell|Roe|Rogers|Roland|Rondo|Rose Bud|Rosston|Rudy|Russell|Russellville|Rye|St. Charles|St. Francis|St. Joe|St. Paul|Salem|Salem|Salesville|Scott|Scranton|Searcy|Sedgwick|Shannon Hills|Sheridan|Sherrill|Sherwood|Shirley|Sidney|Siloam Springs|Smackover|Smithville|South Lead Hill|Southside|Sparkman|Springdale|Spring|Stamps|Star City|Staves|Stephens|Strawberry|Strong|Stuttgart|Subiaco|Success|Sulphur Rock|Sulphur Springs|Sulphur Springs|Summit|Sunset|Sweet Home|Swifton|Taylor|Texarkana|Thornton|Tillar|Tinsman|Tollette|Tonti|Traskwood|Trumann|Tuckerman|Tull|Tumbling Shoals|Tupelo|Turrell|Twin Groves|Tyronza|Ulm|Valley Springs|Van Buren|Vandervoort|Victoria|Vilonia|Viola|Wabbaseka|Waldenburg|Waldo|Waldron|Walnut Ridge|Ward|Warren|Washington|Watson|Weiner|Weldon|West Crossett|Western Grove|West Fork|West Memphis|West Point|Wheatley|Whelen Springs|White Hall|Wickes|Widener|Wiederkehr Village|Williford|Willisville|Wilmar|Wilmot|Wilson|Wilton|Winchester|Winslow|Winthrop|Woodlawn|Woodson|Wooster|Wrightsville|Wynne|Yarborough Landing|Yellville|Zinc"
